state size: 2
action size: 2
0 episode | score: 20.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 19.92 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 19.62 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 19.12 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 18.95 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 18.93 | loss: 0.00000 | epsilon: 1.00
60 episode | score: 18.90 | loss: 0.97557 | epsilon: 1.00
70 episode | score: 18.67 | loss: 1.05567 | epsilon: 1.00
80 episode | score: 18.68 | loss: 1.08656 | epsilon: 1.00
90 episode | score: 19.38 | loss: 0.94774 | epsilon: 1.00
100 episode | score: 19.28 | loss: 1.03509 | epsilon: 1.00
110 episode | score: 19.51 | loss: 0.71243 | epsilon: 0.99
120 episode | score: 18.99 | loss: 0.93373 | epsilon: 0.99
130 episode | score: 19.66 | loss: 1.16028 | epsilon: 0.99
140 episode | score: 20.36 | loss: 1.13808 | epsilon: 0.99
150 episode | score: 20.98 | loss: 1.32609 | epsilon: 0.99
160 episode | score: 20.52 | loss: 1.33352 | epsilon: 0.99
170 episode | score: 21.31 | loss: 0.98376 | epsilon: 0.99
180 episode | score: 21.63 | loss: 2.02319 | epsilon: 0.99
190 episode | score: 21.15 | loss: 1.28008 | epsilon: 0.98
200 episode | score: 21.85 | loss: 0.39538 | epsilon: 0.98
210 episode | score: 22.39 | loss: 0.39455 | epsilon: 0.98
220 episode | score: 21.97 | loss: 0.46333 | epsilon: 0.98
230 episode | score: 21.91 | loss: 1.51220 | epsilon: 0.98
240 episode | score: 21.45 | loss: 1.69967 | epsilon: 0.98
250 episode | score: 21.34 | loss: 0.17487 | epsilon: 0.98
260 episode | score: 21.78 | loss: 1.28316 | epsilon: 0.98
270 episode | score: 22.20 | loss: 2.44907 | epsilon: 0.97
280 episode | score: 22.78 | loss: 0.03198 | epsilon: 0.97
290 episode | score: 22.66 | loss: 0.49562 | epsilon: 0.97
300 episode | score: 22.70 | loss: 3.18905 | epsilon: 0.97
310 episode | score: 22.22 | loss: 2.34569 | epsilon: 0.97
320 episode | score: 21.56 | loss: 4.99713 | epsilon: 0.97
