state size: 2
action size: 2
0 episode | score: 20.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 19.97 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 20.12 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 20.38 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 20.98 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 21.30 | loss: 0.41871 | epsilon: 0.99
60 episode | score: 21.39 | loss: 0.16793 | epsilon: 0.98
70 episode | score: 21.32 | loss: 0.12746 | epsilon: 0.97
80 episode | score: 22.13 | loss: 0.32318 | epsilon: 0.95
90 episode | score: 21.84 | loss: 0.33780 | epsilon: 0.94
100 episode | score: 21.77 | loss: 0.39559 | epsilon: 0.93
110 episode | score: 21.15 | loss: 0.85557 | epsilon: 0.92
120 episode | score: 21.25 | loss: 0.42102 | epsilon: 0.91
130 episode | score: 20.63 | loss: 0.33933 | epsilon: 0.90
140 episode | score: 20.94 | loss: 0.22803 | epsilon: 0.89
150 episode | score: 21.34 | loss: 0.28607 | epsilon: 0.88
160 episode | score: 21.29 | loss: 0.22398 | epsilon: 0.87
170 episode | score: 20.90 | loss: 0.43874 | epsilon: 0.86
180 episode | score: 21.03 | loss: 0.28524 | epsilon: 0.85
190 episode | score: 21.54 | loss: 0.59295 | epsilon: 0.83
200 episode | score: 21.55 | loss: 0.51317 | epsilon: 0.82
210 episode | score: 22.60 | loss: 0.37137 | epsilon: 0.80
220 episode | score: 21.94 | loss: 1.16548 | epsilon: 0.80
230 episode | score: 21.55 | loss: 0.36187 | epsilon: 0.79
240 episode | score: 21.42 | loss: 0.65195 | epsilon: 0.78
250 episode | score: 21.23 | loss: 0.95738 | epsilon: 0.77
260 episode | score: 20.69 | loss: 0.08755 | epsilon: 0.76
270 episode | score: 20.93 | loss: 1.46245 | epsilon: 0.74
280 episode | score: 20.59 | loss: 1.42974 | epsilon: 0.74
290 episode | score: 20.87 | loss: 0.88343 | epsilon: 0.72
300 episode | score: 20.27 | loss: 0.89809 | epsilon: 0.72
310 episode | score: 20.30 | loss: 1.51344 | epsilon: 0.70
320 episode | score: 20.31 | loss: 1.84755 | epsilon: 0.69
330 episode | score: 20.28 | loss: 1.34810 | epsilon: 0.68
340 episode | score: 20.56 | loss: 1.01421 | epsilon: 0.67
350 episode | score: 20.53 | loss: 0.23499 | epsilon: 0.66
360 episode | score: 20.45 | loss: 0.57323 | epsilon: 0.65
370 episode | score: 20.74 | loss: 1.81267 | epsilon: 0.64
380 episode | score: 20.68 | loss: 0.53299 | epsilon: 0.63
390 episode | score: 20.16 | loss: 1.62705 | epsilon: 0.62
400 episode | score: 20.02 | loss: 2.06793 | epsilon: 0.61
410 episode | score: 19.45 | loss: 0.59865 | epsilon: 0.60
420 episode | score: 18.77 | loss: 1.61265 | epsilon: 0.60
430 episode | score: 18.53 | loss: 0.27791 | epsilon: 0.59
440 episode | score: 17.99 | loss: 1.22191 | epsilon: 0.58
450 episode | score: 18.03 | loss: 1.67414 | epsilon: 0.57
460 episode | score: 17.78 | loss: 2.17085 | epsilon: 0.56
470 episode | score: 17.47 | loss: 3.26750 | epsilon: 0.55
480 episode | score: 17.37 | loss: 3.12185 | epsilon: 0.55
490 episode | score: 16.99 | loss: 1.89573 | epsilon: 0.54
500 episode | score: 17.19 | loss: 1.86906 | epsilon: 0.53
510 episode | score: 17.19 | loss: 2.38098 | epsilon: 0.52
520 episode | score: 17.96 | loss: 2.29302 | epsilon: 0.51
530 episode | score: 18.69 | loss: 4.11523 | epsilon: 0.49
540 episode | score: 19.32 | loss: 2.11485 | epsilon: 0.48
550 episode | score: 19.44 | loss: 1.74888 | epsilon: 0.47
560 episode | score: 20.07 | loss: 2.41444 | epsilon: 0.46
570 episode | score: 21.15 | loss: 1.00652 | epsilon: 0.44
580 episode | score: 20.62 | loss: 1.46997 | epsilon: 0.43
590 episode | score: 20.01 | loss: 2.39951 | epsilon: 0.42
600 episode | score: 20.02 | loss: 2.16636 | epsilon: 0.41
610 episode | score: 19.91 | loss: 2.53321 | epsilon: 0.40
620 episode | score: 19.95 | loss: 2.34051 | epsilon: 0.39
630 episode | score: 19.78 | loss: 1.14462 | epsilon: 0.38
640 episode | score: 19.67 | loss: 1.61614 | epsilon: 0.37
650 episode | score: 19.88 | loss: 3.87537 | epsilon: 0.36
660 episode | score: 20.14 | loss: 2.24318 | epsilon: 0.35
670 episode | score: 20.54 | loss: 1.63914 | epsilon: 0.34
680 episode | score: 21.42 | loss: 1.51436 | epsilon: 0.32
690 episode | score: 22.21 | loss: 1.58906 | epsilon: 0.31
700 episode | score: 22.10 | loss: 0.98817 | epsilon: 0.29
710 episode | score: 23.78 | loss: 1.50380 | epsilon: 0.27
720 episode | score: 25.17 | loss: 2.20544 | epsilon: 0.25
730 episode | score: 24.73 | loss: 2.29509 | epsilon: 0.24
740 episode | score: 24.21 | loss: 1.99618 | epsilon: 0.23
750 episode | score: 23.67 | loss: 2.68676 | epsilon: 0.22
760 episode | score: 23.70 | loss: 3.22851 | epsilon: 0.21
770 episode | score: 23.49 | loss: 1.71059 | epsilon: 0.20
780 episode | score: 22.27 | loss: 3.34512 | epsilon: 0.19
790 episode | score: 22.00 | loss: 2.67622 | epsilon: 0.18
800 episode | score: 22.43 | loss: 2.65214 | epsilon: 0.17
810 episode | score: 22.90 | loss: 1.68329 | epsilon: 0.16
820 episode | score: 24.27 | loss: 1.96342 | epsilon: 0.14
830 episode | score: 23.98 | loss: 1.59067 | epsilon: 0.13
840 episode | score: 23.90 | loss: 1.53029 | epsilon: 0.11
850 episode | score: 23.98 | loss: 3.22185 | epsilon: 0.10
860 episode | score: 25.71 | loss: 2.42553 | epsilon: 0.08
870 episode | score: 26.35 | loss: 3.57804 | epsilon: 0.06
880 episode | score: 26.86 | loss: 1.75510 | epsilon: 0.05
890 episode | score: 29.31 | loss: 3.43027 | epsilon: 0.02
900 episode | score: 27.54 | loss: 2.24148 | epsilon: 0.01
910 episode | score: 27.23 | loss: 2.68602 | epsilon: 0.01
920 episode | score: 28.24 | loss: 1.42202 | epsilon: 0.01
930 episode | score: 27.17 | loss: 2.67094 | epsilon: 0.01
940 episode | score: 26.05 | loss: 1.78211 | epsilon: 0.01
950 episode | score: 26.15 | loss: 2.88777 | epsilon: 0.01
960 episode | score: 24.70 | loss: 1.91406 | epsilon: 0.01
970 episode | score: 24.02 | loss: 1.87581 | epsilon: 0.01
980 episode | score: 23.07 | loss: 2.14031 | epsilon: 0.01
990 episode | score: 21.94 | loss: 2.35710 | epsilon: 0.01
1000 episode | score: 20.91 | loss: 2.60165 | epsilon: 0.01
1010 episode | score: 20.48 | loss: 2.45941 | epsilon: 0.01
1020 episode | score: 20.39 | loss: 2.05651 | epsilon: 0.01
1030 episode | score: 19.80 | loss: 2.05728 | epsilon: 0.01
1040 episode | score: 20.10 | loss: 2.32468 | epsilon: 0.01
1050 episode | score: 19.92 | loss: 2.33914 | epsilon: 0.01
1060 episode | score: 19.44 | loss: 2.36733 | epsilon: 0.01
1070 episode | score: 18.86 | loss: 2.22492 | epsilon: 0.01
1080 episode | score: 18.09 | loss: 2.51674 | epsilon: 0.01
1090 episode | score: 17.66 | loss: 2.49230 | epsilon: 0.01
1100 episode | score: 17.05 | loss: 2.22345 | epsilon: 0.01
1110 episode | score: 16.79 | loss: 2.61022 | epsilon: 0.01
1120 episode | score: 16.41 | loss: 2.16031 | epsilon: 0.01
1130 episode | score: 16.40 | loss: 2.10862 | epsilon: 0.01
1140 episode | score: 16.53 | loss: 1.91760 | epsilon: 0.01
