state size: 2
action size: 2
0 episode | score: 16.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 16.48 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 17.15 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 17.02 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 17.05 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 17.94 | loss: 0.18528 | epsilon: 0.99
60 episode | score: 18.16 | loss: 0.17950 | epsilon: 0.98
70 episode | score: 18.58 | loss: 0.12416 | epsilon: 0.97
80 episode | score: 18.75 | loss: 0.20064 | epsilon: 0.96
90 episode | score: 19.12 | loss: 0.85149 | epsilon: 0.95
100 episode | score: 20.25 | loss: 0.31414 | epsilon: 0.93
110 episode | score: 20.22 | loss: 0.46559 | epsilon: 0.92
120 episode | score: 20.24 | loss: 0.34208 | epsilon: 0.91
130 episode | score: 20.15 | loss: 0.20250 | epsilon: 0.90
140 episode | score: 20.55 | loss: 1.23666 | epsilon: 0.89
150 episode | score: 20.87 | loss: 0.61966 | epsilon: 0.88
160 episode | score: 21.53 | loss: 0.47718 | epsilon: 0.86
170 episode | score: 21.49 | loss: 1.12160 | epsilon: 0.85
180 episode | score: 21.84 | loss: 1.05996 | epsilon: 0.84
190 episode | score: 21.98 | loss: 0.28847 | epsilon: 0.83
200 episode | score: 22.02 | loss: 0.80320 | epsilon: 0.82
210 episode | score: 21.73 | loss: 0.93839 | epsilon: 0.80
220 episode | score: 22.06 | loss: 0.60672 | epsilon: 0.79
230 episode | score: 21.88 | loss: 0.04399 | epsilon: 0.78
240 episode | score: 21.35 | loss: 0.95139 | epsilon: 0.77
250 episode | score: 20.59 | loss: 0.65200 | epsilon: 0.77
260 episode | score: 20.06 | loss: 0.98826 | epsilon: 0.76
270 episode | score: 20.17 | loss: 1.66683 | epsilon: 0.75
280 episode | score: 19.94 | loss: 1.04465 | epsilon: 0.74
290 episode | score: 19.98 | loss: 2.11482 | epsilon: 0.73
300 episode | score: 19.88 | loss: 1.09425 | epsilon: 0.72
310 episode | score: 19.42 | loss: 1.52128 | epsilon: 0.71
320 episode | score: 19.30 | loss: 1.16642 | epsilon: 0.70
330 episode | score: 19.24 | loss: 1.19288 | epsilon: 0.69
340 episode | score: 18.74 | loss: 1.56613 | epsilon: 0.68
350 episode | score: 18.84 | loss: 1.20542 | epsilon: 0.67
360 episode | score: 18.53 | loss: 1.62247 | epsilon: 0.66
370 episode | score: 18.38 | loss: 0.44018 | epsilon: 0.65
380 episode | score: 18.52 | loss: 1.69055 | epsilon: 0.64
